origen,destino
Calculo,Algebra
Calculo,Fisica
Calculo,Programacion
Calculo,Quimica
Calculo,Biologia
Calculo,Estadistica
Calculo,Ingles
Calculo,Etica
Calculo,Sociales
Calculo,Logica
Algebra,Fisica
Algebra,Programacion
Algebra,Quimica
Algebra,Biologia
Algebra,Estadistica
Algebra,Ingles
Algebra,Etica
Algebra,Sociales
Algebra,Logica
Fisica,Programacion
Fisica,Quimica
Fisica,Biologia
Fisica,Estadistica
Fisica,Ingles
Fisica,Etica
Fisica,Sociales
Fisica,Logica
Programacion,Quimica
Programacion,Biologia
Programacion,Estadistica
Programacion,Ingles
Programacion,Etica
Programacion,Sociales
Programacion,Logica
Quimica,Biologia
Quimica,Estadistica
Quimica,Ingles
Quimica,Etica
Quimica,Sociales
Quimica,Logica
Biologia,Estadistica
Biologia,Ingles
Biologia,Etica
Biologia,Sociales
Biologia,Logica
Estadistica,Ingles
Estadistica,Etica
Estadistica,Sociales
Estadistica,Logica
Ingles,Etica
Ingles,Sociales
Ingles,Logica
Etica,Sociales
Etica,Logica
Sociales,Logica
